towN;genus;presence;N;N_km2;date;BAT;SLP;RGH;SUB;TFE;TEM;SAL;NIT;PHO;EKE
19;Scyliorhinus;0;0;0;18/06/2020;28,6;0,18969522;3;1;536,4560054;19,21296692;37,94803619;0,703471422;0,015999606;3,60E-05
82;Scyliorhinus;1;4;18,715;18/06/2020;129,5;1,935180128;60;1;203,7424442;13,59967518;38,39686966;2,670154333;0,15052408;1,39E-05
97;Scyliorhinus;0;0;0;18/06/2020;70,9;0,078981206;2;1;102,1358657;14,89375496;38,1721344;2,175141335;0,124205314;0,000175662
132;Scyliorhinus;1;5;45,743;18/06/2020;88,5;0,042738517;1;1;39,46431101;14,31130028;38,19809723;2,227069378;0,127857581;3,89E-05
150;Scyliorhinus;1;2;7,519;18/06/2020;367,8;3,544457897;53;1;166,0186682;13,56079865;38,61786652;4,983534813;0,250759512;5,26E-05
177;Scyliorhinus;0;0;0;18/06/2020;603,3;3,67170447;61;1;263,152488;13,43086243;38,59590149;5,062734127;0,254168749;6,01E-05
3;Scyliorhinus;0;0;0;22/06/2020;403,3;1,647064207;33;1;70,15875596;13,69682407;38,60995483;4,270645618;0,219126537;4,47E-05
65;Scyliorhinus;1;20;215,821;22/06/2020;105,6;2,153839065;38;1;106,9795563;13,74880409;38,64267731;4,642501354;0,235617965;3,31E-07
194;Scyliorhinus;1;4;31,848;22/06/2020;599,8;3,370779002;149;1;96,51488832;13,38363552;38,59395599;5,047811508;0,253465682;1,57E-05
50;Scyliorhinus;0;0;0;30/06/2020;475,7;4,373295259;305;1;567,783598;13,43071842;38,52441025;3,865289688;0,200538635;7,14E-05
54;Scyliorhinus;0;0;0;30/06/2020;106,1;0,831397919;7;4;28,26644444;13,8422966;38,31851196;2,462638378;0,144341514;0,000425801
106;Scyliorhinus;0;0;0;30/06/2020;387,7;1,87992969;16;1;133,9835554;13,5739069;38,57676315;4,415058613;0,225275159;1,46E-05
137;Scyliorhinus;0;0;0;30/06/2020;103,8;0,774853977;6;1;46,05047783;14,12756538;38,24702454;1,923128366;0,115469612;1,24E-05
151;Scyliorhinus;0;0;0;30/06/2020;299,1;4,373295259;141;1;567,783598;13,31086063;38,54359055;4,559555531;0,231764868;2,01E-05
185;Scyliorhinus;1;1;19,77;30/06/2020;548,6;2,275470801;73;1;203,4544463;13,64313412;38,64125824;4,867577553;0,245486811;2,21E-05
35;Scyliorhinus;0;0;0;14/07/2020;378;2,394713347;23;1;131,9033467;13,69723511;38,65019226;4,747533321;0,240176573;4,08E-06
72;Scyliorhinus;0;0;0;14/07/2020;94,1;0,510701079;4;4;111,9501778;14,19582558;38,24642181;1,582122087;0,102101751;0,000116447
112;Scyliorhinus;0;0;0;14/07/2020;524,3;3,249855005;98;1;651,941997;13,67574787;38,64274597;4,755986214;0,240429804;1,20E-06
18;Scyliorhinus;1;2;18,298;21/07/2020;434,4;2,745027228;56;1;217,6088901;13,16215706;38,52159119;4,68031168;0,236908555;8,35E-06
70;Scyliorhinus;0;0;0;21/07/2020;555,7;2,745027228;98;1;217,6088901;13,16215706;38,52159119;4,68031168;0,236908555;8,35E-06
119;Scyliorhinus;1;4;54,605;21/07/2020;121,2;0,20169106;3;1;116,8204445;14,07342052;38,28116608;2,270308733;0,140221193;0,000563159
154;Scyliorhinus;0;0;0;30/07/2020;127,5;0,855802073;6;2;112,8349774;13,78323269;38,31964111;2,350510597;0,144011781;2,26E-05
184;Scyliorhinus;0;0;0;30/07/2020;391,3;2,350185446;35;1;107,9625327;13,74033356;38,62526703;4,335710526;0,221304134;2,34E-05
30;Scyliorhinus;0;0;0;05/08/2020;493,7;4,373295259;211;1;311,56822;13,33617687;38,52443314;3,960059643;0,20435138;9,13E-05
81;Scyliorhinus;1;1;7,667;05/08/2020;103,2;0,774853977;6;1;46,05047783;14,36159134;38,24619293;1,635060787;0,107844979;0,000896643
83;Scyliorhinus;1;6;29,924;05/08/2020;298,6;5,42458271;101;1;567,783598;13,24244499;38,53248215;4,533538818;0,230107784;6,78E-05
41;Scyliorhinus;0;0;0;13/08/2020;56,6;0,225386626;2;1;162,718889;15,57140255;38,18860245;0,823284149;0,038840562;2,66E-05
78;Scyliorhinus;0;0;0;13/08/2020;65;0,135733229;2;1;150,3386226;14,20343208;38,27932739;1,006206632;0,06840682;3,82E-05
170;Scyliorhinus;0;0;0;13/08/2020;24,3;0,33599684;9;1;520,7659804;17,61883354;38,09777451;0,690179408;0,021974353;1,01E-06
49;Scyliorhinus;1;6;42,76;18/08/2020;595,2;3,370779002;149;1;96,51488832;13,19303989;38,55062103;5,118353367;0,256452352;3,91E-05
96;Scyliorhinus;1;6;32,984;18/08/2020;381,9;1,647064207;35;1;147,4292888;13,6361475;38,60442352;4,328577042;0,222326741;1,04E-05
128;Scyliorhinus;1;80;639,949;18/08/2020;76,9;1,485047313;11;1;59,93168828;13,99991417;38,3217392;1,233302593;0,087289639;5,44E-05
60;Scyliorhinus;0;0;0;26/08/2020;405;3,256101516;138;2;9,589644544;13,74003696;38,55363846;3,784468651;0,202748328;6,44E-05
7;Scyliorhinus;0;0;0;16/09/2020;564,8;2,759488623;76;1;263,152488;13,50420666;38,61206436;4,970205784;0,249910384;4,44E-05
51;Scyliorhinus;0;0;0;16/09/2020;69;0,078981206;2;1;136,6676015;15,96490097;38,15925217;0,802157819;0,042726524;9,78E-06
79;Scyliorhinus;0;0;0;16/09/2020;29,1;0,18969522;4;1;548,7813779;22,19565582;38,04374313;0,643120706;0,009065153;0,000132063
105;Scyliorhinus;0;0;0;16/09/2020;100,1;2,540356385;12;4;94,00248965;14,29022598;38,26638412;2,008266926;0,131588832;3,49E-05
120;Scyliorhinus;1;10;84,865;16/09/2020;86,9;0,042738517;1;1;39,46431101;14,74817657;38,26139069;0,878762662;0,060911;6,57E-05
140;Scyliorhinus;1;1;14,283;16/09/2020;308,5;3,901780366;223;1;155,7075556;13,43040276;38,598629;4,991652966;0,250760466;7,10E-06
157;Scyliorhinus;1;1;3,121;16/09/2020;369,8;3,67170447;62;1;288,9542221;13,53092957;38,61638641;4,981479168;0,250391454;2,25E-05
158;Scyliorhinus;0;0;0;16/09/2020;123,4;1,935180128;60;1;203,7424442;13,67460537;38,40038681;3,13265276;0,180973992;1,08E-05
5;Scyliorhinus;0;0;0;28/10/2020;551,6;3,242815806;162;1;672,576672;13,32177925;38,56183243;5,037142754;0,252710283;1,86E-05
37;Scyliorhinus;1;6;37,257;28/10/2020;135,6;0,286843704;3;1;66,71204483;14,04768276;38,33757782;3,4645226;0,200972334;3,29E-05
71;Scyliorhinus;1;1;4,364;28/10/2020;421,5;2,745027228;58;1;217,6088901;13,2946806;38,55047607;4,865697861;0,244745374;1,52E-05
98;Scyliorhinus;0;0;0;28/10/2020;562,1;2,545229793;80;1;226,4291016;13,2946806;38,55047607;4,865697861;0,244745374;1,52E-05
135;Scyliorhinus;0;0;0;28/10/2020;95,4;0,510701079;7;4;111,9501778;14,921525;38,20752335;1,924994469;0,123050518;4,54E-05
180;Scyliorhinus;0;0;0;28/10/2020;366,3;2,268940308;18;1;131,9033467;13,4299736;38,56317139;4,843988419;0,244996265;0,000187305
109;Scyliorhinus;0;0;0;11/11/2020;103,2;0,774853977;6;1;46,05047783;15,30552006;38,20154572;1,438798785;0,079661451;0,000317966
127;Scyliorhinus;1;14;67,174;11/11/2020;294,7;5,42458271;101;1;567,783598;13,40979767;38,56457138;4,618094444;0,233781159;3,83E-05
138;Scyliorhinus;0;0;0;11/11/2020;472,2;4,373295259;211;1;311,56822;13,51848316;38,55771255;4,366521358;0,224520415;3,95E-05
53;Scyliorhinus;0;0;0;12/11/2020;83,4;0,09677699;1;1;189,7593765;15,03374577;38,19669724;1,681892514;0,110437296;0,001203568
162;Scyliorhinus;0;0;0;12/11/2020;60,2;0,197386401;2;1;174,2635547;17,18375969;38,14109039;0,882809162;0,043691669;0,000155059
174;Scyliorhinus;0;0;0;12/11/2020;402,6;3,256101516;138;2;9,589644544;13,69308376;38,47726059;4,103704453;0,219655275;3,96E-05
178;Scyliorhinus;0;0;0;12/11/2020;34,3;0,33599684;15;1;520,7659804;18,36055756;38,06108093;2,270933867;0,042217441;8,59E-05
45;Scyliorhinus;1;4;33,441;18/11/2020;160,9;1,549387181;24;2;155,3579546;13,7945013;38,37215042;3,481188774;0,20058246;6,80E-05
107;Scyliorhinus;0;0;0;18/11/2020;365,1;2,453659017;41;1;107,9625327;13,65651894;38,54963684;4,451702118;0,231226489;3,43E-07
179;Scyliorhinus;1;3;16,444;18/11/2020;596,1;2,751983486;51;1;103,4471118;13,39443779;38,59212112;5,017064095;0,25192222;1,71E-05
86;Scyliorhinus;1;49;393,757;24/11/2020;100,2;1,485047313;11;1;59,93168828;14,66728687;38,16972351;2,657739401;0,159841597;0,000158816
141;Scyliorhinus;1;10;56,967;24/11/2020;574,4;3,008630221;41;1;180,6177772;13,421381;38,58395767;4,863422871;0,245687485;0,000132171
189;Scyliorhinus;1;6;31,046;24/11/2020;385,3;1,647064207;30;1;118,2809771;13,53796291;38,57436752;4,55056715;0,233760789;3,16E-05
64;Scyliorhinus;0;0;0;02/12/2020;62;0,185649971;4;1;21,64666664;17,6200676;38,17150879;0,758791924;0,027035125;4,36E-05
143;Scyliorhinus;1;3;15,87680692;02/12/2020;54,7;0,142435496;4;2;18,18466674;17,24149323;38,19126892;0,815147102;0,036322415;7,70E-05
153;Scyliorhinus;1;13;65,59732398;02/12/2020;65,3;0,18952037;4;1;27,78711104;17,10594368;38,2013588;0,828088045;0,037856538;0,000625632
161;Scyliorhinus;1;3;11,01503067;02/12/2020;69,5;0,182851384;3;1;18,89431124;17,09805298;38,20363617;0,818232298;0,038262244;0,000390502
57;Scyliorhinus;1;26;40,96312026;03/12/2020;320,4;3,207809696;174;1;186,5418221;13,6193819;38,59487915;4,653739452;0,236184672;3,29E-05
121;Scyliorhinus;1;11;14,56676314;03/12/2020;124,3;0,614019913;12;1;154,1566673;14,11157894;38,28505325;2,731186867;0,164511532;0,000206019
42;Scyliorhinus;1;4;17,665;15/12/2020;128,4;1,935180128;45;1;203,7424442;13,80590343;38,40921783;3,786609411;0,209927127;6,40E-05
92;Scyliorhinus;1;2;4,905;15/12/2020;552,6;3,67170447;60;1;263,152488;13,3612051;38,58350754;4,959506989;0,249555543;0,000156098
173;Scyliorhinus;1;1;5,541;15/12/2020;207,4;3,67170447;62;1;263,152488;13,44619465;38,5873909;4,825754166;0,24408102;1,91E-05
17;Scyliorhinus;1;2;24,509;17/12/2020;539,5;3,955692029;80;1;189,6929786;13,48344326;38,56745529;4,550583839;0,231685042;7,00E-05
91;Scyliorhinus;0;0;0;17/12/2020;397,5;1,87992969;18;1;145,1823563;13,45128727;38,56824112;4,578931332;0,233375937;1,17E-06
122;Scyliorhinus;0;0;0;17/12/2020;108,4;0,831397919;8;4;28,26644444;14,88532352;38,16446686;1,690111756;0,08868967;0,001631378
34;Scyliorhinus;0;0;0;22/12/2020;74,6;0,078981206;2;1;114,8090217;16,13130188;38,03110886;1,503159165;0,03953518;0,000460742
171;Scyliorhinus;0;0;0;22/12/2020;27,4;0,18969522;3;1;536,4560054;15,15491676;37,7938118;1,966822982;0,031842403;0,000344037
190;Scyliorhinus;1;16;147,112;22/12/2020;89,8;0,042738517;0;1;39,46431101;15,14116192;38,14476013;2,237498999;0,126354009;0,000547072
23;Scyliorhinus;0;0;0;13/01/2021;484,6;3,249855005;135;1;312,6324497;13,63361549;38,56338882;4,510619164;0,233393461;8,75E-06
28;Scyliorhinus;0;0;0;13/01/2021;94,9;0,510701079;4;4;111,9501778;13,72200775;38,10062027;1,551901102;0,076177664;0,004492148
133;Scyliorhinus;1;2;13,63342687;13/01/2021;360;2,268940308;27;1;131,9033467;13,68301964;38,56228638;4,467349529;0,232051104;0,000176925
24;Scyliorhinus;1;6;50,557;19/01/2021;147,7;0,855802073;16;2;112,8349774;13,77954865;38,13454819;1,915889025;0,09504009;0,000286593
94;Scyliorhinus;1;3;15,919;19/01/2021;538,9;3,04592221;40;1;103,4471118;13,50001431;38,57881165;4,733263493;0,240499556;6,72E-05
191;Scyliorhinus;1;2;11,568;19/01/2021;337,7;2,453659017;47;1;107,9625327;13,68141747;38,53530121;4,334480286;0,227611199;5,25E-05
104;Scyliorhinus;1;56;370,266;27/01/2021;130,2;0,20169106;3;1;116,8204445;13,50083637;38,15582657;2,008127928;0,101977035;0,000524304
118;Scyliorhinus;1;22;121,407;27/01/2021;583;2,596884859;118;1;113,1267994;13,09269238;38,52233887;5,152217865;0,257815003;4,33E-06
124;Scyliorhinus;1;8;34,88;27/01/2021;443,2;2,694675294;41;1;124,397822;13,23210526;38,54967499;5,024718761;0,252138913;1,13E-05
58;Scyliorhinus;1;6;36,695;18/02/2021;77,7;0,197386401;7;1;174,2635547;13,48419476;38,06805801;2,858315468;0,100514434;0,000516265
77;Scyliorhinus;1;2;12,102;18/02/2021;96,9;0,128169333;1;1;190,8986664;13,45933437;38,07444382;2,391220808;0,090801939;0,00037455
95;Scyliorhinus;0;0;0;18/02/2021;23,5;0,33599684;12;1;520,7659804;13,5141573;38,03263855;3,749403715;0,11778862;6,05E-05
15;Scyliorhinus;1;9;12,26130485;25/02/2021;376;2,84663304;136;1;216,2143994;13,58803368;38,59469223;4,866571903;0,246330813;5,08E-05
102;Scyliorhinus;1;51;62,55746701;25/02/2021;174,3;2,314101943;57;1;203,9084439;13,7073307;38,53167725;4,077056885;0,212519109;0,000596383
144;Scyliorhinus;1;53;186,2471119;05/03/2021;74,5;0,185726681;3;2;16,74644433;13,48927402;38,19730759;0,895472288;0,034398127;0,000401186
164;Scyliorhinus;1;29;112,3797577;05/03/2021;65,8;0,142435496;3;2;18,18466674;13,34998226;38,13757706;0,821696341;0,025981009;0,000462806
181;Scyliorhinus;1;34;118,2717842;05/03/2021;77,5;0,185726681;3;2;18,89431124;13,48927402;38,19730759;0,895472288;0,034398127;0,000401186
29;Scyliorhinus;0;0;0;10/03/2021;620;3,372072844;108;1;20,51354284;13,63400936;38,42940521;3,635928392;0,1900644;4,18E-06
46;Scyliorhinus;0;0;0;10/03/2021;620,6;3,372072844;93;1;20,51354284;13,43081093;38,58870697;4,884123325;0,246136129;1,00E-07
165;Scyliorhinus;0;0;0;10/03/2021;592,2;3,243611447;72;1;25,97425393;13,43081093;38,58870697;4,884123325;0,246136129;1,00E-07
11;Scyliorhinus;1;12;125,368;11/03/2021;83;0,041335691;1;2;38,52817763;13,63252068;38,1804657;1,718955278;0,078985564;9,33E-05
73;Scyliorhinus;0;0;0;11/03/2021;66,2;0,078981206;2;1;114,8090217;13,54978466;38,12921524;1,31180501;0,046139877;0,000128909
